Event ID,Event Name,Event Date,Venue,Ticket Limit,Ticket Limit Info,Segment,Genre,Standard Price Min,Standard Price Max,Product Name,Product Type,City,State,Box Office Information,Open hours,will Call Details,Parking Info,Longitude,Latitude,Average Price,Box Office Phone
Z7r9jZ1AdJ4aP,Utah Jazz vs. Phoenix Suns,2023-11-17,Delta Center,50,Not Available,Sports,Basketball,0.0,0.0,Not Available,Not Available,Delta Center,Utah,Not Available,Not Available,Not Available,Not Available,-111.8992,40.756599,0.0,Not Available
G5v0Z9Yc3zOy3,Phoenix Suns vs. Golden State Warriors,2023-11-22,Footprint Center,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",Sports,Basketball,133.0,7000.0,PARKWHIZ FOOTPRINT CENTER,Upsell,Footprint Center,Arizona,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472,-112.071313,33.445899,3566.5,Not Available
Z7r9jZ1AdJ9uz,Utah Jazz vs. Phoenix Suns,2023-11-19,Delta Center,50,Not Available,Sports,Basketball,0.0,0.0,Not Available,Not Available,Delta Center,Utah,Not Available,Not Available,Not Available,Not Available,-111.8992,40.756599,0.0,Not Available
G5v0Z9Yc3UZyA,Phoenix Suns vs. Oklahoma City Thunder,2023-11-12,Footprint Center,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",Sports,Basketball,43.0,3070.0,PARKWHIZ FOOTPRINT CENTER,Upsell,Footprint Center,Arizona,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472,-112.071313,33.445899,1556.5,Not Available
vvG1zZ9YJwb39L,Atlanta Hawks vs. Phoenix Suns,2024-02-02,State Farm Arena,50,Not Available,Sports,Basketball,59.0,981.0,State Farm Arena Parking Hawks vs. Phoenix Suns,Parking,State Farm Arena,Georgia,404-878-3000 - State Farm Arena Box Office 1-866-715-1500 - Atlanta Hawks,The Box Office is open on event days and for the first day of all on-sales. (Hours will vary based upon the events and time of on-sales).,"Located at main box office on Centennial Olympic Park Drive. Available for pickup beginning 1 1/2 hours prior to event. Closing time will vary by event. PLEASE BRING A PICTURE ID, THE ACTUAL CREDIT CARD USED TO PURCHASE THE TICKETS, AND YOUR ORDER NUMBER.","Parking is available in various lots around State Farm Arena including Centennial Garage and the CNN Deck located on Centennial Olympic Park Drive across from the arena. Both lots may be entered from Centennial Olympic Park Drive or Spring Street. Accessible parking is available in both lots. Price varies by event. The Philips Lot, located beneath the CNN Parking lot area, directly across from State Farm Arena, is adjacent to “The Gulch” and can be entered from the downward ramp on Centennial Olympic Park Drive.",-84.394569,33.757796,520.0,404-878-3000
G5viZ9YRGmPD8,Memphis Grizzlies vs. Phoenix Suns,2023-11-24,FedExForum,4,Not Available,Sports,Basketball,60.0,439.0,NBA Parking Event,Parking,FedExForum,Tennessee,901-205-2640 901-888-HOOP (4667) - Memphis Grizzlies,Monday - Friday 10:00am - 5:30pm,Will call is located at the main FedExForum Box Office and is open the day of the event during regular business hours.,Parking is available onsite or at the other garages and lots in the surrounding area.,-90.0514933,35.1394709,249.5,901-205-2640
G5v0Z9Yc3MYyC,In Season Tournament: Phoenix Suns vs. Portland Trail Blazers,2023-11-21,Footprint Center,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",Sports,Basketball,38.0,3070.0,PARKWHIZ FOOTPRINT CENTER,Upsell,Footprint Center,Arizona,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472,-112.071313,33.445899,1554.0,Not Available
G5v0Z9Yc3UYy6,Phoenix Suns vs. Minnesota Timberwolves,2023-11-15,Footprint Center,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",Sports,Basketball,39.0,3070.0,PARKWHIZ FOOTPRINT CENTER,Upsell,Footprint Center,Arizona,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472,-112.071313,33.445899,1554.5,Not Available
G5vYZ9YBkpvBo,Sacramento Kings vs. Phoenix Suns,2023-12-22,Golden 1 Center,4,Not Available,Sports,Basketball,40.0,545.0,PARKWHIZ GOLDEN 1 CENTER,Upsell,Golden 1 Center,California,(916) 701-5401,Monday thru Friday 10am to 5pm Saturday & Sunday Closed Saturday and Sunday Event Day Hours 12pm to Event Time,"Will Call tickets may be picked-up at the Golden 1 Center box office if a valid government issued photo I.D. that matches the name on the order, the credit card used to make the purchase, and the confirmation number given at the time of purchase are provided. VIP PACKAGES are subject to the package providers rules for pick up. Once the Will Call window closes, unclaimed tickets will be available through the end of the show at the Guest Services Booth at Section 109, please enter at the Media entrance near the box office. For the box office to release tickets not in your name you need to submit a written letter of authorization along with a copy of the driver’s license of the party whose name is on the account. Tickets are not accepted for Will Call from patrons wishing to leave tickets for others.",Parking available in downtown parking lots and surface street parking. Please visit https://reserve.sacpark.org/ for additional information.,-121.500231,38.580372,292.5,916701-5401
G5v0Z9Yc3DYBk,Phoenix Suns vs. Golden State Warriors,2023-12-12,Footprint Center,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",Sports,Basketball,148.0,6750.0,PARKWHIZ FOOTPRINT CENTER,Upsell,Footprint Center,Arizona,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472,-112.071313,33.445899,3449.0,Not Available
