Event ID,Event Name,Event URL,Event Date,Venue,Segment,Genre,SubGenre,Type,SubType,Family,Standard Price Currency,Standard Price Min,Standard Price Max,Cost,Ticket Limit,Ticket Limit Info,Product Name,Product ID,Product URL,Product Type,City,State,Country,Event Type,Payment Info,Postal Code,Timezone,Address,Longitude,Latitude,Box Office Info,Open hours,will Call Details,Parking Info
Z7r9jZ1AdJ4aP,Utah Jazz vs. Phoenix Suns,https://www.ticketmaster.com/event/Z7r9jZ1AdJ4aP,2023-11-17,Delta Center,Sports,Basketball,NBA,,,False,,0.0,0.0, 0.0 -  0.0,Not Available,,,,,,Delta Center,Utah,United States Of America,event,,84101,America/Denver,301 W. South Temple,-111.8992,40.756599,,,,
G5v0Z9Yc3zOy3,Phoenix Suns vs. Golden State Warriors,https://www.ticketmaster.com/phoenix-suns-vs-golden-state-warriors-phoenix-arizona-11-22-2023/event/19005F0B52E20E52,2023-11-22,Footprint Center,Sports,Basketball,NBA,Group,Team,False,USD,133.0,7000.0,USD 133.0 - USD 7000.0,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",PARKWHIZ FOOTPRINT CENTER,G5v0Z9YyHms6U,https://www.ticketmaster.com/parkwhiz-footprint-center-phoenix-arizona-11-22-2023/event/19005F0E7CBB11F6,Upsell,Footprint Center,Arizona,United States Of America,event,NBA REGULAR SEASON,85004,America/Phoenix,201 East Jefferson Street,-112.071313,33.445899,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472
Z7r9jZ1AdJ9uz,Utah Jazz vs. Phoenix Suns,https://www.ticketmaster.com/event/Z7r9jZ1AdJ9uz,2023-11-19,Delta Center,Sports,Basketball,NBA,,,False,,0.0,0.0, 0.0 -  0.0,Not Available,,,,,,Delta Center,Utah,United States Of America,event,,84101,America/Denver,301 W. South Temple,-111.8992,40.756599,,,,
G5v0Z9Yc3UZyA,Phoenix Suns vs. Oklahoma City Thunder,https://www.ticketmaster.com/phoenix-suns-vs-oklahoma-city-thunder-phoenix-arizona-11-12-2023/event/19005F0B52D80E45,2023-11-12,Footprint Center,Sports,Basketball,NBA,Group,Team,False,USD,43.0,3070.0,USD 43.0 - USD 3070.0,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",PARKWHIZ FOOTPRINT CENTER,G5v0Z9Yyw4YHW,https://www.ticketmaster.com/parkwhiz-footprint-center-phoenix-arizona-11-12-2023/event/19005F0E72570F3D,Upsell,Footprint Center,Arizona,United States Of America,event,NBA REGULAR SEASON,85004,America/Phoenix,201 East Jefferson Street,-112.071313,33.445899,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472
vvG1zZ9YJwb39L,Atlanta Hawks vs. Phoenix Suns,https://www.ticketmaster.com/atlanta-hawks-vs-phoenix-suns-atlanta-georgia-02-02-2024/event/0E005F09B26125DF,2024-02-02,State Farm Arena,Sports,Basketball,NBA,Group,Team,False,USD,59.0,981.0,USD 59.0 - USD 981.0,Not Available,,State Farm Arena Parking Hawks vs. Phoenix Suns,vvG1zZ9YEvq3H7,https://www.ticketmaster.com/state-farm-arena-parking-hawks-vs-atlanta-georgia-02-02-2024/event/0E005F09C1752F04,Parking,State Farm Arena,Georgia,United States Of America,event,NBA REGULAR SEASON,30303,America/New_York,One State Farm Drive,-84.394569,33.757796,404-878-3000 - State Farm Arena Box Office 1-866-715-1500 - Atlanta Hawks,The Box Office is open on event days and for the first day of all on-sales. (Hours will vary based upon the events and time of on-sales).,"Located at main box office on Centennial Olympic Park Drive. Available for pickup beginning 1 1/2 hours prior to event. Closing time will vary by event. PLEASE BRING A PICTURE ID, THE ACTUAL CREDIT CARD USED TO PURCHASE THE TICKETS, AND YOUR ORDER NUMBER.","Parking is available in various lots around State Farm Arena including Centennial Garage and the CNN Deck located on Centennial Olympic Park Drive across from the arena. Both lots may be entered from Centennial Olympic Park Drive or Spring Street. Accessible parking is available in both lots. Price varies by event. The Philips Lot, located beneath the CNN Parking lot area, directly across from State Farm Arena, is adjacent to “The Gulch” and can be entered from the downward ramp on Centennial Olympic Park Drive."
G5viZ9YRGmPD8,Memphis Grizzlies vs. Phoenix Suns,https://www.ticketmaster.com/memphis-grizzlies-vs-phoenix-suns-memphis-tennessee-11-24-2023/event/1B005F0BCCBA5ED0,2023-11-24,FedExForum,Sports,Basketball,NBA,Group,Team,False,USD,60.0,439.0,USD 60.0 - USD 439.0,4,,NBA Parking Event,G5viZ9YngSNbU,https://www.ticketmaster.com/nba-parking-event-memphis-tennessee-11-24-2023/event/1B005F0AB5CE3636,Parking,FedExForum,Tennessee,United States Of America,event,NBA REGULAR SEASON,38103,America/Chicago,191 Beale Street,-90.0514933,35.1394709,901-205-2640 901-888-HOOP (4667) - Memphis Grizzlies,Monday - Friday 10:00am - 5:30pm,Will call is located at the main FedExForum Box Office and is open the day of the event during regular business hours.,Parking is available onsite or at the other garages and lots in the surrounding area.
G5v0Z9Yc3MYyC,In Season Tournament: Phoenix Suns vs. Portland Trail Blazers,https://www.ticketmaster.com/in-season-tournament-phoenix-suns-vs-phoenix-arizona-11-21-2023/event/19005F0B52DF0E4E,2023-11-21,Footprint Center,Sports,Basketball,NBA,Group,Team,False,USD,38.0,3070.0,USD 38.0 - USD 3070.0,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",PARKWHIZ FOOTPRINT CENTER,G5v0Z9YyHls6Y,https://www.ticketmaster.com/parkwhiz-footprint-center-phoenix-arizona-11-21-2023/event/19005F0E7CAF11F0,Upsell,Footprint Center,Arizona,United States Of America,event,NBA REGULAR SEASON,85004,America/Phoenix,201 East Jefferson Street,-112.071313,33.445899,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472
G5v0Z9Yc3UYy6,Phoenix Suns vs. Minnesota Timberwolves,https://www.ticketmaster.com/phoenix-suns-vs-minnesota-timberwolves-phoenix-arizona-11-15-2023/event/19005F0B52DB0E47,2023-11-15,Footprint Center,Sports,Basketball,NBA,Group,Team,False,USD,39.0,3070.0,USD 39.0 - USD 3070.0,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",PARKWHIZ FOOTPRINT CENTER,G5v0Z9Yyw9ZW7,https://www.ticketmaster.com/parkwhiz-footprint-center-phoenix-arizona-11-15-2023/event/19005F0E725C0F44,Upsell,Footprint Center,Arizona,United States Of America,event,NBA REGULAR SEASON,85004,America/Phoenix,201 East Jefferson Street,-112.071313,33.445899,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472
G5vYZ9YBkpvBo,Sacramento Kings vs. Phoenix Suns,https://www.ticketmaster.com/sacramento-kings-vs-phoenix-suns-sacramento-california-12-22-2023/event/1C005F0E86581E91,2023-12-22,Golden 1 Center,Sports,Basketball,NBA,Group,Team,False,USD,40.0,545.0,USD 40.0 - USD 545.0,4,,PARKWHIZ GOLDEN 1 CENTER,G5vYZ9YWW5v_R,https://www.ticketmaster.com/parkwhiz-golden-1-center-sacramento-california-12-22-2023/event/1C005F0F7D2C166F,Upsell,Golden 1 Center,California,United States Of America,event,NBA REGULAR SEASON,95814,America/Los_Angeles,500 David J Stern Walk,-121.500231,38.580372,(916) 701-5401,Monday thru Friday 10am to 5pm Saturday & Sunday Closed Saturday and Sunday Event Day Hours 12pm to Event Time,"Will Call tickets may be picked-up at the Golden 1 Center box office if a valid government issued photo I.D. that matches the name on the order, the credit card used to make the purchase, and the confirmation number given at the time of purchase are provided. VIP PACKAGES are subject to the package providers rules for pick up. Once the Will Call window closes, unclaimed tickets will be available through the end of the show at the Guest Services Booth at Section 109, please enter at the Media entrance near the box office. For the box office to release tickets not in your name you need to submit a written letter of authorization along with a copy of the driver’s license of the party whose name is on the account. Tickets are not accepted for Will Call from patrons wishing to leave tickets for others.",Parking available in downtown parking lots and surface street parking. Please visit https://reserve.sacpark.org/ for additional information.
G5v0Z9Yc3DYBk,Phoenix Suns vs. Golden State Warriors,https://www.ticketmaster.com/phoenix-suns-vs-golden-state-warriors-phoenix-arizona-12-12-2023/event/19005F0B52EF0E86,2023-12-12,Footprint Center,Sports,Basketball,NBA,Group,Team,False,USD,148.0,6750.0,USD 148.0 - USD 6750.0,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",PARKWHIZ FOOTPRINT CENTER,G5v0Z9YyHzvFN,https://www.ticketmaster.com/parkwhiz-footprint-center-phoenix-arizona-12-12-2023/event/19005F0E7CE01223,Upsell,Footprint Center,Arizona,United States Of America,event,NBA REGULAR SEASON,85004,America/Phoenix,201 East Jefferson Street,-112.071313,33.445899,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472
